topology,graph_id,num_nodes,num_edges,source,target,graph_image,algorithm,path_cost,path_hops,nodes_visited,edges_relaxed,execution_time_ms,success
line,33,192,191,167,80,graph_images\line\line_graph_33.png,BFS (unweighted),2031,87,112,221,0.1042000949382782,True
line,33,192,191,167,80,graph_images\line\line_graph_33.png,Bidirectional Dijkstra,2031,87,150,299,0.3206999972462654,True
line,33,192,191,167,80,graph_images\line\line_graph_33.png,Floyd-Warshall,2031,87,192,3594048,436.8733998853713,True
line,34,26,25,20,12,graph_images\line\line_graph_34.png,Dijkstra,289,8,14,25,0.04509999416768551,True
line,34,26,25,20,12,graph_images\line\line_graph_34.png,Bellman-Ford,289,8,25,1050,0.1906000543385744,True
line,34,26,25,20,12,graph_images\line\line_graph_34.png,A*,289,8,14,25,0.026800204068422318,True
line,34,26,25,20,12,graph_images\line\line_graph_34.png,BFS (unweighted),289,8,14,25,0.015200115740299225,True
line,34,26,25,20,12,graph_images\line\line_graph_34.png,Bidirectional Dijkstra,289,8,17,34,0.03300001844763756,True
line,34,26,25,20,12,graph_images\line\line_graph_34.png,Floyd-Warshall,289,8,26,9776,1.221399987116456,True
line,35,96,95,52,13,graph_images\line\line_graph_35.png,Dijkstra,940,39,72,142,0.13830000534653664,True
line,35,96,95,52,13,graph_images\line\line_graph_35.png,Bellman-Ford,940,39,95,10070,1.5924999024719,True
line,35,96,95,52,13,graph_images\line\line_graph_35.png,A*,940,39,72,142,0.11990009807050228,True
line,35,96,95,52,13,graph_images\line\line_graph_35.png,BFS (unweighted),940,39,79,154,0.05120015703141689,True
line,35,96,95,52,13,graph_images\line\line_graph_35.png,Bidirectional Dijkstra,940,39,67,133,0.10019983164966106,True
line,35,96,95,52,13,graph_images\line\line_graph_35.png,Floyd-Warshall,940,39,96,456096,54.381499998271465,True
line,36,150,149,12,97,graph_images\line\line_graph_36.png,Dijkstra,2583,85,98,193,0.27609989047050476,True
line,36,150,149,12,97,graph_images\line\line_graph_36.png,Bellman-Ford,2583,85,149,3874,0.8874000050127506,True
line,36,150,149,12,97,graph_images\line\line_graph_36.png,A*,2583,85,98,193,0.19200006499886513,True
line,36,150,149,12,97,graph_images\line\line_graph_36.png,BFS (unweighted),2583,85,98,193,0.07709977217018604,True
line,36,150,149,12,97,graph_images\line\line_graph_36.png,Bidirectional Dijkstra,2583,85,144,287,0.1984001137316227,True
line,36,150,149,12,97,graph_images\line\line_graph_36.png,Floyd-Warshall,2583,85,150,1721100,193.70689988136292,True
line,37,218,217,191,100,graph_images\line\line_graph_37.png,Dijkstra,2322,91,118,233,0.2351999282836914,True
line,37,218,217,191,100,graph_images\line\line_graph_37.png,Bellman-Ford,2322,91,217,83328,11.746100150048733,True
line,37,218,217,191,100,graph_images\line\line_graph_37.png,A*,2322,91,118,233,0.20370003767311573,True
line,37,218,217,191,100,graph_images\line\line_graph_37.png,BFS (unweighted),2322,91,118,233,0.08139992132782936,True
line,37,218,217,191,100,graph_images\line\line_graph_37.png,Bidirectional Dijkstra,2322,91,159,317,0.22829999215900898,True
line,37,218,217,191,100,graph_images\line\line_graph_37.png,Floyd-Warshall,2322,91,218,5251184,622.0966000109911,True
line,38,299,298,93,261,graph_images\line\line_graph_38.png,Dijkstra,4376,168,262,521,0.3689001314342022,True
line,38,299,298,93,261,graph_images\line\line_graph_38.png,Bellman-Ford,4376,168,298,56024,8.826000150293112,True
line,38,299,298,93,261,graph_images\line\line_graph_38.png,A*,4376,168,262,521,0.44219987466931343,True
line,38,299,298,93,261,graph_images\line\line_graph_38.png,BFS (unweighted),4376,168,262,521,0.18289987929165363,True
